	CMS121	CMS13	CMS15	CMS17	CMS50	CMS9	CVRL01	CVRL02	CVRL05	CVRL06	LCA66	VOLP03	VOLP08	VOLP32	YWLL08	YWLL38	YWLL44
MG_sMG100	147149	251255	000000	138166	171171	236248	197234	000000	156172	191205	237242	140140	143143	205255	138162	186186	201203
MG_sMG101	147149	255255	000000	166166	147147	236246	206224	000000	168172	191205	242246	130140	143143	205255	152152	186190	191201
MG_sMG102	147157	251255	000000	154166	171179	246246	194226	000000	158168	191205	242242	130130	143145	205255	140154	186186	201201
MG_sMG104	147157	251251	000000	154166	171181	234246	218226	000000	168168	191201	242246	130140	143143	205255	154158	186190	201201
MG_sMG105	143147	251255	000000	138166	147147	236236	200218	000000	156174	191203	226235	130140	143143	205255	138154	186190	201203
MG_sMG107	143149	255257	000000	166166	147179	230246	226226	000000	166168	191205	242246	150150	143145	205255	144158	186190	186186
MG_sMG108	147147	251255	000000	138166	171185	236236	194226	000000	158168	191205	237237	140144	145145	255255	144144	186190	201201
MG_sMG110	147149	239251	000000	138166	171179	238242	206226	000000	158168	191205	242246	130140	143143	205255	138138	176190	199201
MG_sMG111	143149	255255	000000	138166	179185	236238	194226	000000	168168	188201	242246	130140	143143	205255	144154	186186	191201
MG_sMG112	149159	255255	000000	138166	147147	236242	220226	000000	158168	201205	224242	130140	143143	205255	144144	176190	201201
MG_sMG113	147147	251251	000000	138166	181185	235246	206218	000000	158168	191203	242246	130130	143145	205255	140140	186190	201203
MG_sMG114	147159	251255	000000	154166	165179	238238	226226	000000	168168	191205	224242	130140	143143	205255	154158	176190	191201
MG_sMG116	147149	255255	000000	138166	171171	236238	218226	000000	168168	205205	226242	130130	143143	205255	138138	176190	201201
MG_sMG117	147159	255255	000000	138166	171179	236246	200218	000000	158164	201205	237242	140162	145145	205255	154154	186190	201203
MG_sMG118	147157	245255	000000	138166	179179	236246	206226	000000	158168	191205	224244	130140	145145	205255	144154	178186	201203
MG_sMG119	147147	255255	000000	166166	171171	236246	218226	000000	168168	201201	242242	130140	143145	205255	162162	176190	191201
MG_sMG121	147149	251251	000000	138166	147179	238246	200219	000000	158158	201201	242242	130140	143143	205255	138154	186190	185199
MG_sMG123	143145	255255	000000	138166	187187	242246	204216	000000	158172	191205	226242	130140	143143	205255	142154	186190	191199
MG_sMG124	147149	251255	000000	138166	147179	238238	194226	000000	158168	191205	228246	130140	143145	205255	140154	186186	185199
MG_sMG152	143145	255255	000000	138166	147147	236236	204216	000000	158158	201205	242242	130140	143143	205255	138138	186186	199201
MG_sMG153	147147	245251	000000	138166	147177	236236	194206	000000	164168	191205	237237	130140	143143	205255	144154	176190	201203
MG_sMG158	145147	251255	000000	138166	185185	236236	194226	000000	156168	191205	242246	130140	143145	205255	144144	190190	201201
MG_sMG159	147165	255255	000000	138166	171181	238238	206226	000000	156168	201205	242246	154154	143143	205255	140140	186186	201201
MG_sMG164	147147	255255	000000	138166	171171	236246	194226	000000	158164	191205	242246	130140	143143	255255	154154	186190	201203
MG_sMG165	145157	239251	000000	138166	176185	238238	206218	000000	158168	191205	242242	150162	143143	255255	138158	186190	201202
MG_sMG175	149157	251251	000000	138166	147179	236246	218226	000000	158158	201201	242246	140140	145145	255255	144154	186186	185201
MG_sMG176	147147	255255	000000	138166	181185	236236	194226	000000	158168	191205	242246	130140	143145	205255	154154	186186	201201
MG_sMG180	143165	255255	000000	138166	179181	236236	192192	000000	156172	191205	242246	150162	145145	205255	144144	186190	201201
MG_sMG181	147157	255255	000000	138166	147147	238242	218226	000000	158168	191203	242246	130140	143143	205255	138162	186190	201201
MG_sMG182	136147	255255	000000	166166	147179	238238	204218	000000	158160	191203	226246	140140	145145	205255	138144	186190	201203
MG_sMG183	147157	251257	000000	138166	147177	238242	194194	000000	158172	191201	235235	130140	143143	205255	154154	186190	201203
MG_sMG190	147147	251255	000000	138166	179185	238240	226226	000000	158168	205205	228246	130140	143145	205255	154154	186186	201203
MG_sMG193	147159	255255	000000	138166	171171	240248	226226	000000	154172	201201	242242	130140	143143	255255	154154	186186	201201
MG_sMG4	149165	251255	000000	138166	179179	236238	206228	000000	158168	201205	237242	130140	143147	255255	138138	176190	201201
MG_sMG43	147149	255255	000000	138166	185185	236238	226226	000000	158168	191205	242242	154154	143143	241255	138162	186186	201201
MG_sMG44	147147	255255	000000	138166	171171	238246	194194	000000	168168	191205	226242	130140	143143	241255	154162	186186	201201
MG_sMG95	147165	245255	000000	138166	171179	236246	226226	000000	158168	191205	226242	130140	143143	205255	138154	186186	201201
MG_sMG96	147157	245255	000000	138166	171171	238238	226226	000000	158158	191205	228246	130140	143143	205255	138138	186190	199203
MG_sMG97	147149	255257	000000	138166	171171	238240	194226	000000	154168	191205	242246	130140	143145	255255	150152	186186	201201
MG_sMG99	157157	251255	000000	138166	171181	236238	226228	000000	158158	201201	242246	130140	143145	205255	138154	176190	201201
MJ_sMJ154	147157	255255	000000	138166	179185	236246	220226	000000	158168	191205	241242	130140	143143	205255	138138	186190	203203
MJ_sMJ161	145145	255255	000000	138166	171179	238246	226226	000000	164168	191205	242242	130140	143145	255255	140154	186190	199201
MJ_sMJ162	147147	251255	000000	138166	179179	238242	226228	000000	158168	191205	228246	130140	143145	205255	160162	186186	199203
MJ_sMJ167	145145	251255	000000	138166	171181	238246	194226	000000	158168	201205	242246	130140	143143	205255	154160	186190	201201
MJ_sMJ170	147165	255255	000000	138166	179185	236246	226228	000000	158158	191205	242246	130140	143143	255255	140158	186190	201201
MJ_sMJ171	143145	251255	000000	138166	171185	236246	204234	000000	158158	191205	235235	130140	143145	205255	154154	186190	201201
MJ_sMJ172	147163	251255	000000	138166	171185	238242	200226	000000	158168	205205	237237	130140	145145	255255	138138	186190	201201
MJ_sMJ174	147149	255255	000000	138166	179187	230246	226226	000000	164168	191201	242242	130140	143143	255255	138138	186186	185203
MJ_sMJ18	147163	255255	000000	138166	171179	238238	194228	000000	158168	191205	246246	130140	143143	205255	138160	186190	201203
MJ_sMJ188	147157	255255	000000	138166	171181	238242	194226	000000	158158	191205	226242	130140	143143	205255	154154	178186	201203
MJ_sMJ20	147149	251251	000000	138166	179179	236236	224226	000000	158168	191205	226242	130140	143143	255255	136170	186186	201201
MJ_sMJ21	147149	255255	000000	138166	171181	236246	194206	000000	164168	191205	242242	130140	143145	205255	138138	186190	201201
MJ_sMJ22	147159	245255	000000	138166	177179	238246	218226	000000	168168	205205	237242	130140	143143	255255	154154	190190	201203
MJ_sMJ23	147165	251252	000000	138166	147171	238238	192226	000000	168172	191205	242242	140141	145145	255255	146148	186190	201201
MJ_sMJ24	145147	255255	000000	138166	171171	235238	194226	000000	158168	205205	242246	150162	143143	255255	158160	186186	201201
MJ_sMJ27	147147	255255	000000	154166	181185	238246	226226	000000	168168	191205	242246	140140	143143	255255	142142	190190	199203
MJ_sMJ28	145147	251251	000000	154166	171181	236238	218226	000000	158172	205205	242246	130140	143143	255255	154158	186186	199201
MJ_sMJ29	145145	251251	000000	154166	181181	238238	218226	000000	158172	191205	242242	130140	143145	255255	160162	186186	199201
MJ_sMJ30	147165	251251	000000	154166	147171	236238	226226	000000	168168	205205	246246	140140	143145	255255	158158	186190	199201
MJ_sMJ31	147147	251255	000000	138166	171179	238238	216226	000000	168172	205205	242242	140166	143143	255255	160162	186186	201201
MJ_sMJ32	145147	255255	000000	154166	181181	238238	212226	000000	158158	205205	242246	140140	143143	255255	158162	186186	201203
MJ_sMJ33	157163	251257	000000	154166	165179	236238	204218	000000	168168	201205	242242	130140	143143	255255	138160	186186	199201
MJ_sMJ34	147163	255255	000000	138166	179185	236246	218226	000000	158168	191205	226226	130140	143143	255255	148148	186186	191201
MJ_sMJ35	145147	251255	000000	154166	171185	238238	226226	000000	158158	201205	242246	130140	143143	255255	154154	186190	199199
MJ_sMJ36	145147	251251	000000	138166	179185	236238	226226	000000	156168	191205	242242	140140	143143	255255	138138	186186	201201
MJ_sMJ37	147165	251251	000000	138166	171181	238246	197206	000000	168168	205205	242242	142164	143161	251251	160162	186186	199201
MJ_sMJ57	147165	255255	000000	138166	147181	238246	226234	000000	158158	201205	237246	132132	143145	205255	154162	186188	201201
MJ_sMJ58	145145	245255	000000	138166	172172	236238	226226	000000	158168	205205	237242	130140	143143	255255	142142	186190	201201
MJ_sMJ59	147157	255255	000000	138166	172181	236238	226226	000000	164168	201205	237242	130140	143145	255255	140140	186190	199201
MJ_sMJ60	157165	255255	000000	138166	171171	238246	226226	000000	158168	201205	242242	130140	143145	255255	140140	186186	201203
MJ_sMJ61	147147	255255	000000	138166	179181	236238	226226	000000	160160	205205	237242	140140	143145	255255	138138	186186	199201
MJ_sMJ62	147147	255255	000000	138166	147179	238238	200228	000000	158168	205205	242246	140140	143143	241255	144144	186186	203203
MJ_sMJ63	147147	251255	000000	138166	147179	236248	224226	000000	158158	191205	242246	130140	143145	205255	138138	186186	185199
MJ_sMJ64	147163	251251	000000	138166	147171	238248	220224	000000	158172	205205	226242	142142	143145	255255	138138	186186	201203
MJ_sMJ65	145157	251255	000000	138166	147185	238246	204216	000000	158158	191205	242246	130140	143143	255255	160162	186190	201209
MJ_sMJ66	157165	255255	000000	154166	181181	238238	226226	000000	164168	205205	242246	130140	143143	255255	154158	186190	199199
MJ_sMJ67	147149	255255	000000	138166	179181	242242	224226	000000	158168	191205	242242	130140	143143	255255	138140	186190	201203
MJ_sMJ68	147165	251255	000000	138166	171181	230246	220226	000000	158168	191205	242242	130140	143145	205255	140142	186190	201201
MJ_sMJ69	147147	251255	000000	138166	147179	246246	204226	000000	158158	205205	228246	130140	143143	205255	138140	186186	185199
MJ_sMJ70	157157	255255	000000	138166	147171	238248	204226	000000	168168	205205	226242	140168	143143	255255	140140	186186	201201
PAK_p1	135139	235237	120129	142150	147155	000000	187197	200207	000000	194200	235237	181181	145147	258259	142147	165169	204220
PAK_p1010	000000	251261	104132	141146	147155	000000	197220	199202	000000	194200	237239	171181	145147	261261	131135	170174	203220
PAK_p1037	131135	239251	104111	141146	148155	000000	224228	199205	000000	187190	239239	000000	000000	261261	129142	170182	000000
PAK_p1071	131139	237246	104131	141150	147155	000000	197212	196199	000000	187194	237237	174181	145145	259261	131138	170172	203220
PAK_p1073	000000	249269	104107	144146	000000	000000	000000	219222	000000	000000	248251	000000	000000	258258	000000	167172	000000
PAK_p1085	142150	237243	104125	141146	153155	000000	196210	196200	000000	194200	237239	171174	145147	261261	131138	170172	203207
PAK_p1102	131135	246251	104132	141150	147155	000000	197214	212222	000000	194200	233235	172181	145147	261261	131140	170178	203220
PAK_p1117	131141	000000	132140	000000	152155	000000	000000	000000	000000	000000	000000	000000	144171	000000	129137	000000	178194
PAK_p1501	135139	239251	104132	141150	147155	000000	187202	196199	000000	194200	239239	181181	145147	259261	129139	170188	203220
PAK_p1503	142150	239251	104132	141146	147155	000000	187197	196199	000000	195198	239239	171181	147149	259261	129138	170188	210220
PAK_p1507	135139	251252	104132	141146	145151	000000	189197	199205	000000	194200	239239	181181	150150	261261	142158	170184	214228
PAK_p1508	136142	239246	104132	141146	148155	000000	187197	196199	000000	194200	239239	181199	145147	261261	129135	170172	201204
PAK_p1510	135139	237249	104132	141146	147153	000000	210214	199205	000000	194200	237239	171174	145145	261261	129138	000000	201203
PAK_p1511	131139	239251	149152	141150	141152	000000	202212	212212	000000	194200	239239	170172	136139	259261	142159	170184	204210
PAK_p2	131142	234237	103132	141146	150155	000000	234250	199212	000000	194200	233237	173215	133136	261261	129135	170174	209225
PAK_p2001	131135	237250	131140	000000	147155	000000	197202	205211	000000	183186	237237	170171	133136	261261	131138	172189	178182
PAK_p2002	135139	237241	104132	141146	149155	000000	196220	212222	000000	194200	237241	171181	145182	261261	125128	170174	201203
PAK_p2003	141148	000000	146149	000000	143152	000000	000000	000000	000000	000000	000000	170170	136136	000000	141160	000000	178182
PAK_p2004	000000	236246	104132	141146	148155	000000	202214	196199	000000	000000	235243	174174	136136	259259	131138	170188	209210
PAK_p2005	131139	259261	131140	150152	149155	000000	197199	205207	000000	180183	233235	170171	136144	259261	131137	170172	178182
PAK_p2006	135139	239243	104132	141150	155185	000000	187197	196200	000000	194198	239239	181181	145182	259261	000000	170174	203207
PAK_p2007	131135	237246	131140	000000	155180	000000	197202	205209	000000	183194	233237	170181	133136	261261	131142	165170	178198
PAK_p2008	145147	000000	131137	150152	155155	000000	228228	205207	000000	196196	230230	000000	144147	261261	140145	000000	182197
PAK_p2009	131135	236239	120129	142150	145157	000000	197210	200207	000000	187194	235239	171181	145147	258259	129135	176180	203207
PAK_p2011	131135	237239	131140	154154	149155	000000	204212	205207	000000	186194	237239	170174	136144	259259	125131	166170	178182
PAK_p2012	145147	000000	131137	000000	147155	000000	197214	205205	000000	193193	237239	171181	136144	000000	140145	167170	181188
PAK_p2013	145145	237239	132140	000000	000000	000000	228228	000000	000000	197197	000000	000000	143143	261261	142142	000000	178182
PAK_p2014	131135	236245	120129	142150	147155	000000	187196	209219	000000	194200	235235	181181	145145	260260	129138	172180	201207
PAK_p2015	147147	237237	132140	150152	155155	000000	230230	000000	000000	193193	235239	170181	144144	259259	134135	185189	181188
PAK_p2501	131139	241246	104131	141150	147155	000000	214220	196199	000000	188193	239239	181202	145147	259261	142177	170172	203220
PAK_p2504	000000	237237	104111	141146	155185	000000	214233	196199	000000	000000	237237	173173	133136	259261	131177	170174	209209
PAK_p2505	000000	246251	103132	141146	155180	000000	197202	205222	000000	000000	235237	181183	145147	259261	000000	165170	203203
PAK_p2506	145147	237237	149152	154154	000000	000000	228228	205207	000000	193197	230230	000000	000000	261261	140140	000000	178182
PAK_p2512	131135	239249	104132	141150	147155	000000	197202	205209	000000	193194	230239	171171	144145	259259	129139	170184	182197
PAK_p2513	131136	246251	104132	141146	148155	000000	220226	212212	000000	194200	235239	173173	133136	000000	131138	170188	209228
PAK_p2518	145145	239261	131140	154154	147155	000000	197208	205209	000000	193193	235239	170171	136144	261261	140145	184184	181184
PAK_p2521	145145	239246	121131	000000	147155	000000	197208	209212	000000	193193	239241	000000	144147	259261	137140	170172	178182
