qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
CMS121	7	100	25	0	0	34	58	59908943	59908967	4.01E-04	47.3
CMS121	9	87.5	24	1	2	34	57	73773969	73773948	523	27
CMS121	7	100	23	0	0	1	23	59909093	59909071	0.005	43.6
CMS121	7	86.957	23	3	0	36	58	48222085	48222063	523	27
CMS121	6	91.304	23	1	1	35	57	11259731	11259752	40	30.7
CMS121	6	86.957	23	3	0	36	58	92593682	92593660	523	27
CMS121	7	90.909	22	2	0	37	58	57481274	57481253	40	30.7
CMS121	7	90.909	22	1	1	1	22	11988439	11988459	145	28.8
CMS121	9	90.909	22	1	1	37	57	66170009	66169988	145	28.8
CMS121	6	90.909	22	1	1	34	55	28282487	28282467	145	28.8
CMS121	6	90.909	22	1	1	2	23	95989702	95989682	145	28.8
CMS121	7	90.476	21	2	0	38	58	11436074	11436094	145	28.8
CMS121	7	90.476	21	1	1	3	23	64730492	64730511	523	27
CMS121	7	90.476	21	1	1	36	55	75644642	75644662	523	27
CMS121	10	90.476	21	0	2	37	57	22401467	22401449	523	27
CMS121	10	90.476	21	1	1	1	21	45935545	45935564	523	27
CMS121	9	95.238	21	1	0	35	55	68429722	68429742	3.1	34.4
CMS121	6	95.238	21	1	0	36	56	90693923	90693903	3.1	34.4
CMS121	6	90.476	21	2	0	34	54	20184846	20184866	145	28.8
CMS121	6	90.476	21	0	2	5	23	59660588	59660608	523	27
CMS121	7	95	20	0	1	40	58	76832325	76832306	40	30.7
CMS121	7	90	20	2	0	39	58	22669440	22669421	523	27
CMS121	7	90	20	2	0	34	53	53451596	53451615	523	27
CMS121	10	90	20	2	0	2	21	9187972	9187953	523	27
CMS121	10	90	20	2	0	38	57	24170295	24170314	523	27
CMS121	10	90	20	2	0	34	53	37818129	37818110	523	27
CMS121	10	90	20	2	0	36	55	40630443	40630424	523	27
CMS121	10	90	20	2	0	39	58	51144852	51144833	523	27
CMS121	30	95	20	1	0	34	53	17378818	17378837	11	32.5
CMS121	30	90	20	2	0	39	58	11892553	11892534	523	27
CMS121	9	90	20	2	0	2	21	56261338	56261319	523	27
CMS121	9	90	20	2	0	4	23	57081174	57081193	523	27
CMS121	9	90	20	2	0	3	22	73090628	73090609	523	27
CMS121	6	90	20	2	0	38	57	14305217	14305236	523	27
CMS121	6	90	20	2	0	39	58	30390366	30390347	523	27
CMS121	6	90	20	2	0	39	58	32769818	32769799	523	27
CMS121	6	90	20	2	0	39	58	40430559	40430540	523	27
CMS121	6	90	20	2	0	37	56	51368921	51368902	523	27
CMS121	6	90	20	2	0	1	20	56736704	56736723	523	27
CMS121	6	90	20	2	0	36	55	61459789	61459808	523	27
CMS121	6	90	20	2	0	1	20	61674651	61674670	523	27
CMS121	6	90	20	2	0	39	58	66949235	66949216	523	27
CMS121	7	94.737	19	1	0	39	57	24151362	24151380	40	30.7
CMS121	10	100	19	0	0	39	57	57551271	57551253	0.87	36.2
CMS121	10	94.737	19	1	0	40	58	33380242	33380260	40	30.7
CMS121	10	94.737	19	1	0	36	54	65938983	65939001	40	30.7
CMS121	9	94.737	19	0	1	40	57	51735066	51735084	145	28.8
CMS121	6	94.737	19	0	1	4	21	9902455	9902437	145	28.8
CMS121	6	94.737	19	0	1	41	58	94487755	94487737	145	28.8
CMS121	7	94.444	18	1	0	41	58	54561369	54561386	145	28.8
CMS121	7	94.444	18	0	1	41	57	6715772	6715789	523	27
CMS121	7	94.444	18	0	1	41	57	42388676	42388659	523	27
CMS121	7	94.444	18	0	1	34	50	58523483	58523466	523	27
CMS121	10	94.444	18	1	0	5	22	6276703	6276686	145	28.8
CMS121	10	94.444	18	1	0	40	57	48805139	48805156	145	28.8
CMS121	10	94.444	18	1	0	38	55	61129607	61129624	145	28.8
CMS121	10	94.444	18	1	0	6	23	67185482	67185499	145	28.8
CMS121	10	94.444	18	0	1	41	57	42171801	42171784	523	27
CMS121	30	100	18	0	0	35	52	5299406	5299423	3.1	34.4
CMS121	30	94.444	18	1	0	2	19	8925128	8925111	145	28.8
CMS121	9	94.444	18	1	0	41	58	7018306	7018323	145	28.8
CMS121	9	94.444	18	1	0	35	52	7599858	7599875	145	28.8
CMS121	9	94.444	18	1	0	37	54	35061126	35061109	145	28.8
CMS121	9	94.444	18	1	0	41	58	55054483	55054500	145	28.8
CMS121	6	94.444	18	1	0	41	58	6853216	6853199	145	28.8
CMS121	6	94.444	18	1	0	39	56	12881434	12881417	145	28.8
CMS121	6	94.444	18	1	0	1	18	27019375	27019392	145	28.8
CMS121	6	94.444	18	1	0	5	22	53488854	53488837	145	28.8
CMS121	6	94.444	18	1	0	5	22	65855300	65855317	145	28.8
CMS121	6	94.444	18	1	0	6	23	76827709	76827692	145	28.8
CMS121	6	94.444	18	1	0	5	22	93259472	93259455	145	28.8
CMS121	6	94.444	18	0	1	41	57	42572752	42572769	523	27
CMS121	6	94.444	18	0	1	1	18	59842487	59842471	523	27
CMS121	7	100	17	0	0	34	50	73903863	73903847	11	32.5
CMS121	7	94.118	17	1	0	7	23	14977784	14977800	523	27
CMS121	7	94.118	17	1	0	6	22	19393579	19393595	523	27
CMS121	7	94.118	17	1	0	39	55	19852998	19853014	523	27
CMS121	7	94.118	17	1	0	2	18	27042139	27042123	523	27
CMS121	7	94.118	17	1	0	6	22	32762759	32762743	523	27
CMS121	7	94.118	17	1	0	1	17	33736133	33736149	523	27
CMS121	7	94.118	17	1	0	36	52	46802142	46802158	523	27
CMS121	7	94.118	17	1	0	7	23	60037515	60037499	523	27
CMS121	7	94.118	17	1	0	38	54	64623632	64623648	523	27
CMS121	7	94.118	17	1	0	40	56	68704215	68704231	523	27
CMS121	7	94.118	17	1	0	35	51	75964156	75964172	523	27
CMS121	7	94.118	17	1	0	41	57	79212628	79212612	523	27
CMS121	10	94.118	17	1	0	39	55	13363967	13363983	523	27
CMS121	10	94.118	17	1	0	41	57	19615704	19615688	523	27
CMS121	10	94.118	17	1	0	2	18	36309234	36309250	523	27
CMS121	10	94.118	17	1	0	41	57	42245122	42245138	523	27
CMS121	10	94.118	17	1	0	40	56	45102827	45102811	523	27
CMS121	10	94.118	17	1	0	39	55	45761798	45761782	523	27
CMS121	10	94.118	17	1	0	42	58	47165949	47165965	523	27
CMS121	10	94.118	17	1	0	40	56	58307692	58307708	523	27
CMS121	10	94.118	17	1	0	41	57	58686745	58686761	523	27
CMS121	30	94.118	17	1	0	40	56	3006070	3006086	523	27
CMS121	30	94.118	17	1	0	4	20	5807936	5807952	523	27
CMS121	30	94.118	17	1	0	2	18	6420200	6420216	523	27
CMS121	30	94.118	17	1	0	41	57	7182037	7182021	523	27
CMS121	30	94.118	17	1	0	38	54	20968525	20968541	523	27
CMS121	30	94.118	17	1	0	34	50	21082727	21082743	523	27
